user,days_to_due,workload,priority,was_on_time
carol,30,5,Medium,1
eve,44,10,Low,0
alice,10,8,Low,1
dave,16,7,Low,0
eve,17,6,High,1
alice,18,8,Low,1
alice,45,9,Low,1
alice,23,9,High,0
eve,7,8,Low,0
bob,59,6,High,0
dave,39,2,Medium,1
alice,14,7,Low,1
eve,34,2,High,1
bob,55,6,Low,1
alice,4,5,High,1
alice,16,9,Medium,1
carol,42,1,Medium,1
eve,13,1,Low,1
dave,29,0,High,1
dave,57,7,Low,0
alice,39,3,High,1
alice,3,7,Medium,1
bob,37,8,High,0
alice,15,0,High,1
dave,59,9,High,0
carol,6,6,Low,0
carol,13,1,High,0
dave,59,7,High,0
eve,51,9,Low,1
bob,41,0,Medium,0
eve,5,5,Low,1
alice,35,3,Medium,1
carol,42,2,Medium,1
alice,24,2,Low,1
eve,47,8,High,0
eve,34,10,High,1
carol,28,8,Low,0
dave,42,8,Low,0
eve,11,10,Medium,1
carol,5,9,Medium,1
dave,48,11,High,0
bob,40,2,Medium,1
bob,40,10,High,1
carol,16,7,High,1
alice,13,10,High,0
bob,36,10,Medium,1
eve,43,9,High,1
bob,10,10,High,0
bob,36,1,Medium,0
dave,39,1,High,0
alice,41,0,Low,1
eve,35,5,Low,1
bob,41,1,Low,1
eve,29,5,Medium,0
alice,12,5,High,1
alice,22,9,Low,0
eve,12,3,Low,1
eve,12,6,High,1
carol,11,9,Low,1
bob,29,3,High,1
alice,39,6,High,1
dave,32,1,Low,0
carol,27,2,High,0
dave,29,4,Low,1
carol,20,5,Low,1
carol,59,0,Medium,0
bob,35,0,High,0
bob,15,11,Low,0
alice,17,4,Low,1
bob,52,6,Low,0
dave,53,7,Medium,0
alice,30,6,High,1
dave,36,8,Medium,1
dave,22,5,High,1
carol,13,0,High,1
bob,46,5,Low,1
alice,38,8,Low,1
alice,17,11,High,0
dave,20,0,Medium,0
bob,33,1,High,1
eve,30,0,High,1
bob,38,6,Medium,0
bob,15,1,Medium,1
alice,40,10,High,0
alice,6,8,Low,1
alice,50,11,Medium,0
dave,47,10,Low,1
dave,16,3,Medium,0
bob,3,8,Medium,0
bob,54,11,Low,0
alice,45,2,Medium,1
dave,45,7,High,0
carol,44,1,Medium,1
eve,32,7,High,1
dave,10,2,Low,1
alice,7,11,High,0
bob,24,3,High,1
dave,20,11,Medium,0
alice,36,9,High,1
dave,2,1,Medium,0
carol,51,9,Medium,1
carol,45,1,High,0
carol,26,7,Medium,1
dave,14,1,Low,1
eve,41,5,High,1
alice,20,1,Low,1
carol,25,8,Medium,0
eve,1,7,High,1
carol,10,2,Medium,1
bob,29,9,Medium,1
eve,20,7,Low,0
alice,54,3,High,1
eve,12,4,High,0
dave,56,11,Low,0
dave,59,3,Medium,0
alice,37,3,Medium,1
carol,6,4,High,1
alice,49,2,Medium,1
dave,53,1,Low,1
bob,25,1,High,0
carol,50,6,Medium,1
eve,52,1,Medium,1
bob,21,0,Low,1
eve,47,5,Low,1
bob,43,9,Medium,0
alice,26,7,Low,1
dave,27,7,High,0
alice,1,2,Low,1
eve,48,4,High,1
dave,2,1,Medium,1
alice,41,8,High,0
eve,31,8,Low,0
eve,38,3,Medium,1
bob,18,8,Low,0
carol,1,7,Medium,1
alice,21,0,Medium,1
eve,19,11,High,1
alice,32,0,Low,1
bob,11,2,Medium,1
bob,46,8,Low,0
bob,6,11,High,0
alice,12,4,Medium,1
dave,36,10,Low,0
bob,44,10,Low,1
carol,55,4,Low,1
carol,51,3,High,1
carol,34,3,High,1
carol,29,11,Low,0
bob,36,1,Medium,1
dave,26,8,Medium,1
dave,10,6,High,1
alice,42,9,Medium,0
alice,44,7,High,1
carol,13,6,Medium,1
dave,9,9,High,0
bob,57,9,High,1
eve,4,1,Low,1
bob,25,1,Low,1
alice,55,1,High,1
carol,44,1,High,1
alice,22,4,Low,1
carol,10,8,Medium,1
alice,25,1,Low,1
bob,3,9,Medium,0
alice,49,10,Low,1
carol,4,9,Medium,1
eve,46,3,High,0
carol,9,7,High,1
alice,39,3,High,1
bob,5,11,Low,0
bob,3,5,High,1
bob,23,11,Medium,1
carol,34,6,Medium,1
dave,58,3,High,1
alice,55,9,Medium,1
dave,17,11,Low,0
eve,23,11,Low,1
eve,20,7,High,0
eve,20,5,Medium,1
alice,53,11,Medium,1
eve,14,3,High,1
eve,2,8,High,0
alice,9,0,Low,1
bob,4,1,Low,1
carol,15,5,High,1
dave,47,0,Medium,1
eve,35,7,Medium,1
carol,16,6,Medium,1
eve,35,1,Low,1
bob,14,3,Medium,1
alice,2,8,High,0
dave,31,0,Medium,0
eve,52,2,Low,1
alice,13,4,Medium,1
bob,4,8,Low,0
dave,12,11,High,0
dave,18,11,Low,0
eve,43,1,Low,1
carol,5,2,Medium,1
bob,11,1,High,0
alice,23,2,High,1
alice,28,2,Low,1
dave,33,3,Low,1
eve,39,11,High,0
dave,38,6,Medium,1
dave,35,6,Low,0
eve,22,4,Medium,1
carol,21,5,Medium,1
bob,23,9,Low,0
eve,21,9,Medium,0
eve,18,4,High,1
alice,35,0,Low,1
dave,55,4,Medium,1
bob,52,11,Medium,0
alice,29,3,High,1
eve,42,0,High,1
alice,41,0,Medium,1
eve,33,9,Medium,1
dave,40,4,Low,1
carol,22,7,High,1
dave,23,7,High,1
dave,1,6,High,1
alice,23,10,High,1
carol,24,0,High,1
bob,31,3,Low,0
carol,7,2,Low,1
eve,5,5,Medium,1
dave,17,7,High,0
bob,3,0,Medium,1
alice,41,8,Medium,1
bob,10,4,Low,0
eve,53,11,Medium,1
alice,40,1,Low,1
carol,14,11,Medium,0
dave,30,3,High,0
carol,46,0,High,1
alice,12,8,Low,1
eve,21,7,Medium,1
dave,32,10,Medium,0
alice,22,11,High,0
bob,29,4,Low,1
bob,31,2,Low,0
eve,22,10,High,0
carol,54,2,Low,1
dave,47,8,High,1
bob,58,7,High,0
carol,1,3,Low,1
bob,34,10,High,0
carol,27,1,High,1
alice,52,3,Medium,1
bob,54,11,High,1
alice,34,4,High,1
carol,31,6,Medium,0
eve,58,3,Low,1
dave,10,7,Medium,0
eve,38,4,Medium,1
eve,10,5,Medium,1
alice,45,3,High,1
dave,29,2,High,0
dave,4,7,Medium,0
bob,19,11,Low,0
carol,22,7,High,0
bob,38,4,Low,0
carol,48,3,Medium,1
alice,18,3,High,1
carol,47,10,High,0
eve,33,0,Medium,1
carol,15,5,Low,1
carol,39,8,Medium,1
alice,52,9,Medium,1
carol,49,5,High,1
carol,45,2,High,1
carol,46,9,Low,1
eve,20,0,High,1
eve,36,5,Medium,1
bob,35,0,High,1
alice,54,11,High,0
alice,36,4,Medium,1
bob,30,5,Low,1
dave,14,7,Medium,1
bob,25,5,High,1
carol,20,1,Medium,1
eve,4,1,High,0
bob,32,7,Low,0
eve,42,9,Medium,0
bob,21,1,High,0
bob,37,7,High,0
alice,21,11,High,1
alice,50,4,Low,1
alice,17,7,High,1
dave,58,10,High,0
alice,17,1,Medium,1
bob,1,9,High,1
alice,2,9,Medium,0
carol,39,5,Low,1
dave,59,9,Low,1
alice,32,6,High,1
dave,46,3,Medium,1
eve,15,5,Medium,1
alice,40,9,Medium,0
bob,25,7,Medium,1
dave,33,9,Low,1
dave,23,8,Low,0
carol,5,2,Low,1
bob,8,7,High,0
eve,8,6,High,1
bob,42,11,Medium,0
carol,45,2,Low,1
alice,28,0,Low,1
eve,32,11,Low,1
carol,32,8,Low,1
alice,45,6,High,1
eve,34,3,Medium,0
carol,55,10,High,1
alice,4,8,Medium,1
eve,35,11,High,1
bob,6,2,High,1
dave,44,8,High,1
carol,12,11,Medium,1
eve,28,7,Medium,1
eve,35,3,Medium,1
bob,58,10,High,0
alice,5,11,Low,0
carol,35,0,High,1
bob,35,7,Low,1
alice,20,11,High,0
carol,4,9,High,1
eve,35,8,High,1
dave,14,3,High,0
carol,13,1,Low,0
carol,27,6,Low,1
dave,53,7,Medium,0
carol,20,0,High,1
bob,38,6,Medium,0
carol,46,2,Low,1
alice,28,3,High,0
alice,59,11,Low,1
carol,47,3,Medium,1
eve,36,7,High,1
alice,56,3,High,0
eve,35,8,Low,0
alice,4,10,Medium,0
alice,56,6,High,0
dave,35,10,Medium,0
eve,5,3,High,1
alice,53,8,High,1
carol,17,1,High,1
dave,54,11,Medium,0
alice,19,9,High,1
eve,51,5,High,1
dave,55,6,Medium,0
carol,22,11,Medium,1
carol,55,8,High,1
alice,18,0,High,1
bob,27,7,Low,1
alice,57,0,Low,1
carol,48,3,High,1
alice,46,0,Medium,1
dave,33,9,Low,0
alice,42,10,Medium,0
alice,24,4,High,1
eve,51,10,Low,0
eve,11,2,Low,1
eve,1,7,Low,1
eve,53,11,High,1
eve,26,6,Medium,1
alice,27,6,Medium,1
alice,47,3,Medium,1
dave,30,0,Low,0
eve,19,11,High,1
bob,51,8,Low,1
eve,41,9,Medium,0
eve,10,1,Low,0
alice,39,11,Low,0
carol,53,1,High,1
bob,17,8,Medium,0
carol,1,6,High,1
eve,21,0,Low,1
alice,38,11,High,0
bob,36,2,High,1
eve,38,9,Medium,1
bob,32,2,Low,0
alice,23,7,Low,1
bob,59,8,Medium,0
alice,24,6,Medium,1
eve,7,3,High,0
alice,47,3,Low,1
dave,18,11,Low,0
carol,11,0,High,1
eve,8,1,Medium,1
dave,49,1,High,1
carol,3,10,High,1
carol,46,5,Low,1
bob,51,1,Medium,0
eve,30,9,High,0
eve,42,11,High,0
dave,18,11,High,0
eve,59,3,High,1
dave,5,4,High,0
bob,45,5,High,0
carol,3,9,Medium,1
carol,58,0,High,1
dave,21,11,Low,0
carol,1,11,Low,1
carol,13,1,Low,1
eve,17,2,Medium,1
alice,24,9,Low,1
eve,8,11,High,0
dave,54,2,Low,0
eve,34,10,Medium,0
dave,54,4,Medium,0
dave,5,0,High,0
dave,6,0,Low,1
dave,44,3,Medium,0
bob,36,5,Low,1
carol,11,8,Low,1
carol,53,10,Medium,1
dave,7,2,Low,1
dave,45,0,High,0
carol,38,2,Low,1
eve,31,6,Medium,1
eve,22,10,Low,0
bob,21,11,Medium,1
carol,56,8,Medium,1
carol,50,7,Medium,1
carol,1,3,High,0
eve,13,7,High,0
alice,1,3,Low,1
alice,34,3,Medium,1
carol,35,7,Low,1
eve,45,1,High,0
carol,38,1,High,1
bob,16,5,Medium,1
eve,56,11,Medium,1
carol,54,6,High,0
alice,41,4,High,1
eve,19,8,High,1
alice,55,6,Medium,1
dave,8,5,Medium,1
dave,46,3,High,0
dave,13,10,Low,0
dave,55,1,Medium,0
carol,41,11,High,1
alice,58,9,Medium,1
alice,23,7,Medium,1
eve,44,8,High,0
alice,1,10,Low,0
bob,44,3,Medium,0
eve,19,0,Medium,1
dave,51,4,High,0
bob,29,0,Low,0
bob,47,6,High,0
eve,37,0,Low,0
alice,30,8,High,1
carol,12,4,Medium,1
dave,41,2,Low,1
carol,44,8,Low,1
bob,37,3,Low,0
alice,9,5,Low,1
alice,36,6,High,1
alice,24,7,Low,1
carol,28,5,High,1
alice,36,4,Low,1
alice,49,5,Medium,1
dave,47,4,Medium,1
eve,38,7,Medium,1
dave,14,9,Low,0
alice,12,5,High,1
dave,58,11,Medium,0
dave,55,11,Low,1
dave,58,11,Low,0
bob,59,8,Medium,1
eve,25,0,Low,1
dave,57,11,Low,0
eve,7,3,Low,1
carol,8,0,Low,1
eve,22,10,Low,0
eve,34,1,High,1
dave,26,3,Medium,0
eve,56,3,Medium,1
dave,22,8,High,1
dave,7,9,High,0
bob,59,2,Low,0
dave,47,11,Low,1
alice,47,3,Medium,1
dave,57,8,Medium,1
alice,50,4,High,1
alice,50,5,Low,1
eve,58,4,Medium,1
bob,14,9,Medium,0
carol,30,5,High,1
eve,43,11,High,1
carol,13,1,Low,1
dave,6,8,Low,0
carol,26,8,Low,1
bob,19,6,Low,1
bob,26,5,Low,0
eve,34,0,Low,1
bob,34,6,High,0
dave,47,0,Low,0
carol,20,7,Medium,1
dave,9,4,Medium,0
dave,28,9,Low,0
bob,40,1,Low,0
carol,22,4,Low,1
carol,44,9,High,1
carol,34,2,High,1
eve,7,0,Low,1
eve,30,2,Low,0
carol,26,0,Medium,0
eve,20,4,Low,1
alice,50,0,Medium,1
dave,52,6,Medium,0
alice,41,4,Medium,0
bob,56,8,High,0
carol,56,2,High,1
bob,51,2,High,1
bob,40,4,High,0
bob,20,1,High,1
alice,48,2,Low,1
alice,27,3,Medium,0
eve,1,2,Low,0
eve,36,1,High,0
bob,4,2,Medium,0
eve,56,3,Low,0
eve,41,8,High,1
eve,57,9,Low,1
eve,20,2,Low,1
dave,28,11,Medium,0
dave,47,8,High,0
bob,50,4,High,1
carol,14,8,Medium,1
dave,39,7,Medium,0
eve,8,0,Low,1
bob,10,10,Medium,0
alice,17,10,Medium,1
alice,4,3,Low,1
eve,37,5,High,1
alice,51,3,High,0
bob,40,6,Low,0
bob,39,8,High,1
alice,29,8,High,1
dave,52,4,Low,1
alice,12,6,High,1
bob,15,3,Medium,1
carol,52,2,Medium,1
bob,55,3,Low,1
alice,33,0,Low,1
eve,27,5,High,0
carol,19,11,Low,0
alice,20,3,Low,1
carol,57,4,Low,1
carol,50,6,Low,1
dave,16,7,High,0
eve,11,4,Low,1
alice,5,8,Medium,1
carol,33,1,High,1
eve,59,1,Medium,1
dave,33,3,Medium,0
carol,54,7,High,1
bob,41,8,Medium,0
bob,17,1,Medium,1
dave,41,4,Medium,0
alice,49,10,High,1
carol,3,9,Medium,1
bob,24,9,Medium,0
carol,55,6,Low,1
dave,27,8,Medium,0
carol,20,2,Low,1
eve,34,5,Low,1
carol,10,8,High,1
alice,59,3,Low,1
eve,4,0,Low,1
bob,53,10,Medium,0
eve,59,7,Medium,1
alice,45,11,High,1
dave,7,0,High,1
alice,10,3,High,0
bob,32,5,Medium,1
bob,27,5,Medium,1
carol,21,8,Low,1
eve,59,8,Low,1
dave,17,10,High,0
bob,20,7,Low,1
dave,47,0,High,1
carol,48,1,Low,1
carol,58,0,Low,1
bob,18,5,Low,0
carol,13,7,Medium,1
alice,55,7,Low,1
carol,46,9,High,0
carol,25,6,High,0
alice,54,4,High,1
carol,21,1,High,0
carol,38,9,Medium,1
eve,15,11,Medium,0
carol,58,8,High,1
eve,43,5,Low,1
carol,14,5,Medium,1
eve,48,4,High,1
eve,50,6,Low,1
dave,19,2,High,1
dave,27,7,Medium,0
eve,58,3,High,0
eve,36,9,High,0
alice,49,4,High,1
carol,45,2,Low,1
eve,42,6,High,1
carol,30,8,Low,1
eve,47,4,Low,1
dave,47,6,High,1
eve,2,4,Medium,0
alice,30,0,Medium,1
bob,51,9,Medium,0
carol,36,1,High,1
carol,14,6,Low,1
carol,54,11,Low,0
alice,33,2,Low,1
bob,1,1,Medium,1
alice,34,0,High,1
eve,39,7,Medium,1
eve,5,9,High,0
bob,49,6,High,0
alice,43,8,Low,1
eve,53,10,Medium,1
alice,54,11,High,0
alice,29,8,Medium,1
carol,44,2,Medium,1
eve,19,2,Medium,1
carol,11,4,Medium,1
bob,51,1,Medium,1
alice,40,3,Low,1
alice,49,1,Medium,1
dave,29,10,Medium,1
carol,3,5,Medium,1
carol,55,3,Low,1
carol,58,10,Low,1
bob,49,8,Low,0
eve,56,8,High,0
eve,48,6,Medium,1
carol,37,2,High,1
dave,9,11,Medium,0
alice,16,6,Low,1
bob,36,9,High,0
bob,12,9,High,0
carol,57,7,High,1
dave,10,11,Low,1
alice,26,1,Medium,1
bob,23,1,Medium,0
alice,47,2,Medium,1
eve,1,11,High,0
eve,27,3,Low,1
eve,15,3,Low,0
dave,58,4,High,1
alice,37,5,Medium,1
carol,15,4,Medium,1
alice,56,10,Low,0
eve,38,1,Medium,1
alice,54,5,Low,0
carol,31,10,High,0
eve,27,2,Low,1
eve,13,0,Low,1
carol,21,2,Medium,1
dave,48,4,Low,1
bob,49,3,Low,0
carol,58,2,Low,1
eve,10,2,High,1
eve,19,10,Medium,0
carol,25,3,Low,0
carol,46,1,Low,1
carol,5,2,High,0
dave,54,0,Medium,0
alice,14,10,Low,0
carol,55,5,Medium,1
carol,21,11,High,1
carol,25,8,Medium,1
carol,1,6,High,1
dave,22,5,Medium,0
eve,46,1,Medium,1
carol,43,11,Medium,0
carol,28,7,Medium,1
eve,2,4,High,1
dave,54,9,Low,0
carol,22,3,High,1
alice,20,3,Low,1
carol,7,10,Low,1
carol,53,6,Low,1
carol,20,4,Medium,1
alice,8,4,Medium,1
dave,39,4,Low,1
alice,42,2,Medium,1
bob,7,11,Medium,1
dave,50,5,Medium,1
eve,20,2,High,0
dave,56,6,Low,1
eve,30,7,Medium,1
alice,36,3,High,1
dave,31,1,Medium,0
bob,31,6,Low,0
eve,38,9,Medium,1
dave,48,11,Medium,0
alice,55,9,High,0
eve,56,1,High,1
alice,48,1,Low,0
alice,15,9,Low,1
eve,17,8,Medium,1
bob,13,8,Low,0
carol,7,8,Low,1
dave,59,8,Medium,0
eve,17,0,High,1
eve,57,11,Medium,0
dave,39,7,High,0
carol,38,5,High,1
dave,3,5,Medium,0
eve,38,7,Low,1
alice,6,2,Medium,1
carol,12,0,Low,1
eve,52,8,Low,1
eve,58,3,Low,1
dave,13,9,Medium,1
dave,13,0,Medium,1
alice,15,0,Medium,1
carol,45,6,Medium,1
carol,26,10,High,1
alice,28,8,High,1
bob,54,1,Low,1
eve,32,1,High,1
bob,13,10,High,0
alice,40,2,Low,1
bob,44,4,Low,1
alice,57,3,High,0
alice,44,2,Low,1
alice,32,11,High,0
alice,57,7,Low,1
alice,43,7,Medium,1
carol,39,10,Low,1
bob,29,4,High,0
bob,38,4,High,0
alice,49,2,Low,1
alice,21,2,Medium,1
carol,39,11,Low,0
carol,56,5,Medium,1
eve,51,3,Medium,1
carol,36,9,High,1
alice,41,3,Low,1
carol,58,11,Low,1
carol,28,0,Medium,1
alice,12,7,Medium,0
dave,27,8,Low,1
dave,31,7,Low,0
alice,34,2,Medium,1
bob,9,9,Medium,1
eve,3,9,Low,1
carol,12,8,High,1
bob,23,1,Low,1
alice,54,8,Medium,1
bob,21,8,High,0
eve,33,3,Medium,1
bob,58,3,Low,1
eve,24,8,Medium,0
alice,43,11,Low,1
carol,18,4,Low,1
carol,40,1,Medium,1
alice,8,6,Low,1
eve,58,4,Low,1
carol,45,5,High,1
carol,48,1,High,1
carol,30,10,Low,1
carol,8,5,Medium,1
bob,21,7,Low,1
dave,25,11,High,0
eve,47,0,High,1
bob,54,9,High,0
carol,45,7,Medium,1
alice,54,9,High,1
alice,48,5,Low,1
eve,15,5,High,1
alice,31,4,Low,1
eve,22,9,High,1
bob,26,4,Medium,1
carol,50,1,High,0
eve,7,11,Low,1
carol,47,11,Low,1
carol,20,3,Low,1
dave,40,7,High,0
carol,50,0,Low,1
eve,6,9,Medium,1
dave,40,10,Medium,1
bob,28,1,Low,1
carol,31,8,Low,1
dave,51,6,Medium,1
carol,30,9,Medium,1
eve,53,6,Medium,1
eve,23,4,Medium,1
bob,46,11,High,0
bob,18,7,Medium,0
eve,10,3,Medium,1
carol,3,9,Low,1
dave,4,0,High,1
carol,22,0,Medium,1
carol,13,10,Medium,1
dave,12,6,Medium,0
alice,59,8,High,1
carol,47,4,Low,1
alice,28,1,High,1
alice,10,9,High,0
alice,25,2,Medium,1
carol,11,4,High,0
alice,2,11,High,0
carol,11,0,Low,1
eve,59,9,Medium,0
carol,47,9,High,1
bob,26,10,Low,0
dave,12,10,High,1
alice,56,3,High,1
bob,16,3,Medium,1
dave,37,6,Medium,0
eve,52,11,High,1
carol,15,3,Low,1
carol,13,9,High,0
carol,55,3,High,1
dave,2,5,Medium,1
dave,30,2,Low,0
carol,54,3,Medium,1
dave,9,6,Low,0
dave,47,8,High,0
bob,18,4,Low,0
eve,22,9,High,0
eve,42,8,Medium,1
dave,19,9,Medium,0
carol,57,4,High,1
eve,32,1,Low,1
bob,2,11,High,0
eve,31,10,High,1
eve,4,6,Medium,1
dave,31,0,High,0
alice,47,11,High,0
bob,42,7,Low,1
bob,43,10,High,1
carol,42,10,High,0
alice,16,1,Medium,1
dave,25,9,Medium,1
eve,56,8,Medium,1
eve,54,5,High,0
carol,27,8,Medium,1
alice,2,11,High,0
alice,10,8,Medium,1
dave,2,0,Low,0
carol,2,8,Medium,1
dave,37,11,High,1
eve,10,4,Medium,1
bob,58,11,Medium,1
dave,45,3,Medium,1
eve,36,7,High,1
eve,36,3,Medium,1
eve,59,10,High,0
carol,14,6,Low,1
dave,16,0,High,0
eve,7,11,High,0
dave,34,4,High,0
carol,14,10,High,1
carol,17,11,Low,1
eve,59,3,Low,0
eve,6,8,Low,1
eve,5,11,Low,1
alice,20,11,Low,1
carol,29,5,Medium,1
dave,46,2,High,1
eve,47,0,High,1
dave,6,7,High,0
alice,3,11,Low,0
dave,12,3,High,1
dave,51,5,Low,0
eve,43,11,High,1
dave,47,4,High,0
carol,8,3,Medium,1
carol,26,6,Low,1
alice,20,7,Low,1
carol,12,6,Medium,1
bob,27,10,Medium,0
carol,6,3,Medium,1
dave,1,2,Low,1
carol,39,3,High,1
dave,43,2,High,0
eve,24,8,High,0
alice,52,5,Low,0
bob,11,11,Medium,0
eve,23,1,Low,0
bob,25,5,High,1
dave,14,2,Medium,1
carol,16,3,High,0
alice,51,5,Medium,1
eve,54,3,Medium,1
